,Full Name,Gender,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Operating Status,Founded Date,Closed Date,Company Type,Number of Founders,Success,Founder
7576,Kiran Bhat,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7577,Kiran Bhat,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7578,Prashant Tandon,1,12,1,2,2,0,1,1,0,1,2012,0,1,2,1,1
7579,Sameer Maheshwari,1,4,2,0,0,0,0,0,0,1,2012,0,1,2,1,1
7580,Harold Mechelynck,1,0,1,2,2,0,0,0,0,1,1996,0,0,2,1,1
7581,Dan Heller,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,0,0
7582,Derek Roos,1,16,1,0,0,0,0,0,0,1,2005,0,1,2,1,1
7583,Derckjan Kruit,1,0,1,0,0,0,0,0,0,1,2005,0,1,2,1,1
7584,Theresa Payton,0,1,2,0,0,0,0,0,6,1,2014,0,0,1,0,1
7585,Bob Lindner,1,0,1,0,0,0,0,0,0,1,2015,0,0,2,0,1
7586,Meghan Gaffney Buck,0,0,1,0,0,0,0,0,0,1,2015,0,0,2,0,1
7587,Andrew Lee,1,0,1,0,0,0,0,0,1,1,2014,0,1,4,0,1
7588,Kent Liu,1,0,1,0,0,0,0,0,0,1,2014,0,1,4,0,1
7589,Sahil Sani,1,0,1,0,0,0,0,0,1,1,2015,0,1,2,1,0
7590,Pedro Conrade,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7591,Chris Zacharias,1,5,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7592,Jeremy Larkin,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7593,Jeremy Larkin,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7594,Ameer Sherif,1,1,2,0,0,0,0,0,1,1,2009,0,1,1,0,1
7595,Andrew Ferenci,1,11,4,1,1,0,0,0,0,1,2010,0,0,5,1,1
7596,Alex Wasserman,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7597,Eddie Siegel,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7598,Neal O'Mara,1,10,2,0,0,0,0,0,0,1,2010,0,0,2,0,1
7599,Neal O'Mara,1,10,2,0,0,0,0,0,0,1,2010,0,0,2,0,1
7600,Swapnil Tripathi,1,0,2,0,0,0,0,0,0,1,2016,0,1,2,0,1
7601,Vishal Salgotra,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7602,Lex Deak,1,9,2,0,0,0,0,0,0,1,2015,0,1,1,0,1
7603,Ali Abdullah,1,6,1,0,0,0,0,0,1,1,2014,0,1,2,0,1
7604,Max Nussenbaum,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7605,Max Nussenbaum,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7606,Johan Brissmyr,1,2,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7607,Johan Brissmyr,1,2,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7608,Johan Brissmyr,1,2,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7609,Johan Brissmyr,1,2,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7610,Tim Dingman,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7611,Tim Dingman,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7612,Sebastian Wallin,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7613,Sebastian Wallin,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7614,Scott Lowe,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7615,Scott Lowe,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7616,Parul Gupta,0,3,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7617,Gautam Tambay,1,3,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7618,Marshall Culpepper,1,3,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7619,Kevin Mintaraga,1,10,1,1,1,0,0,0,0,1,2013,0,1,2,0,0
7620,Chaz Englander,1,0,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
7621,Rosie Dallas,0,0,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
7622,Owen Turner-Major,1,0,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
7623,Steven Suliawan,1,0,2,0,0,0,0,0,0,1,2016,0,1,1,0,1
7624,Heinrich Wendel,1,1,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
7625,Michael Cross,1,2,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
7626,Mark Bernstein,1,2,1,0,0,0,0,0,1,1,2013,0,1,1,0,1
7627,Guy Zipori,1,0,3,0,0,0,0,0,0,1,2014,0,1,4,1,1
7628,Daniel Delshad,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7629,Grant Hosford,1,10,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7630,Zvika Netter,1,19,2,0,0,0,0,0,1,1,2007,0,1,3,1,1
7631,Tal Chalozin,1,21,2,0,0,0,0,0,1,1,2007,0,1,3,1,1
7632,Garrett Gafke,1,7,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
7633,Zhang Wenming,2,0,1,0,0,0,0,0,0,1,2013,0,1,1,1,1
7634,Rex Briggs,1,4,1,0,0,0,0,0,0,1,2000,0,1,2,0,1
7635,Haomiao Huang,1,2,1,0,0,0,0,0,2,1,2012,0,1,2,0,1
7636,Sai-Wai Fu,1,0,2,0,0,0,0,0,0,1,2012,0,1,2,0,1
7637,Joe Ross,1,5,1,0,0,0,0,0,0,1,2001,0,0,2,1,1
7638,Yonatan Levin,1,0,2,0,0,0,0,0,2,1,0,0,0,2,0,1
7639,Hannan Parvizian,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,0,1
7640,Wesley Zheng,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,0,1
7641,Poornima Vijayashanker,0,26,2,2,2,0,0,0,4,1,2010,0,0,2,0,1
7642,Kevin Krauth,1,0,1,0,0,0,0,0,1,1,2015,0,1,2,0,0
7643,James Dickhoner,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
7644,Ryan Milnes,1,0,3,0,0,0,0,0,0,1,2013,0,0,2,0,1
7645,Jonathan Haswell,1,5,1,0,0,0,0,0,0,1,2008,0,0,2,1,0
7646,Jonathan Haswell,1,5,1,0,0,0,0,0,0,1,2008,0,0,1,1,0
7647,Arun Srinivasan,1,7,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7648,Ankur Gupta,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7649,Ankur Gupta,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7650,Lucas Carne,1,11,1,1,2,0,0,0,1,1,2006,0,1,2,1,1
7651,Jose Manuel Villanueva,1,7,1,1,2,0,0,0,0,1,2006,0,1,2,1,1
7652,Erol Toker,1,2,1,0,0,0,0,0,1,1,2013,0,1,1,0,1
7653,Joel REYES,1,2,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
7654,Mrigank Tripathi,1,5,2,0,0,0,0,0,0,1,2014,0,1,2,0,1
7655,Marc Fenigstein,1,4,1,0,0,0,0,0,0,1,2010,0,1,4,1,1
7656,Jeff Sand,1,0,1,0,0,0,0,0,0,1,2010,0,1,4,1,1
7657,Derek Dorresteyn,1,4,1,0,0,0,0,0,0,1,2010,0,1,4,1,1
7658,David Drennan,1,0,1,0,0,0,0,0,0,1,2010,0,1,4,1,1
7659,David Moloney,1,9,1,0,0,0,0,0,2,1,2006,0,1,2,1,1
7660,Sean Mitchell,1,6,1,0,0,0,0,0,0,1,2006,0,1,2,1,1
7661,Max Zabala,1,0,1,0,0,0,0,0,0,1,2015,0,0,2,0,1
7662,Felipe Azenha,1,0,1,1,1,0,0,0,0,1,2015,0,0,2,0,1
7663,Jack Davis,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7664,Kimball Thomas,1,4,2,3,2,0,0,0,0,1,2010,0,0,4,1,1
7665,Michael Mann,1,8,9,0,0,0,0,0,0,1,2007,0,1,2,0,1
7666,Ari Rabban,1,2,1,0,0,0,0,0,3,1,2007,0,1,2,0,1
7667,Ofir Schlam,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7668,Eli Bukchin,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7669,Eli Bukchin,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7670,Ayal Karmi,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7671,Abhinav Khare,1,4,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7672,Mick Hagen,1,13,3,0,0,0,0,0,2,1,2013,0,1,2,0,1
7673,Ryan Johnson,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7674,Bryan Atwood,1,8,1,0,0,0,0,0,1,1,2010,0,1,2,1,1
7675,Josh Manley,1,8,2,0,0,0,0,0,0,1,2012,0,1,2,0,1
7676,Sean Moss-Pultz,1,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
7677,Lauren Lake,0,3,1,0,0,0,0,0,0,1,2012,0,1,2,0,1
7678,Mallorie Brodie,0,19,1,0,0,0,0,0,1,1,2012,0,1,2,0,1
7679,Mallorie Brodie,0,19,1,0,0,0,0,0,1,1,2012,0,1,2,0,1
7680,Sam Glines,1,12,1,0,0,0,0,0,0,1,2010,0,1,2,0,0
7681,Corey Brundage,1,12,1,0,0,0,0,0,1,1,2014,0,1,1,0,1
7682,Michael Wilson,1,0,1,0,0,0,0,0,0,1,2010,0,1,1,0,1
7683,Troy Sultan,1,0,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
7684,Joakim Achren,1,5,2,0,0,0,0,0,0,1,2013,0,1,4,1,1
7685,Mikael Achren,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
7686,Jaakko Jumisko,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
7687,Adam Gries,1,3,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
7688,Michael Richman,1,1,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7689,Ranga Rajagopalan,1,0,1,0,0,0,0,0,4,1,2012,0,1,3,1,1
7690,Murali Basavaiah,1,0,1,0,0,0,0,0,0,1,2012,0,1,3,1,1
7691,JOHN LIGAS,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7692,Raffi Tchakmakjian,1,0,2,0,0,0,0,0,0,1,2014,0,1,3,0,1
7693,Kellee Khalil,0,38,1,0,0,0,0,0,1,1,2011,0,1,2,0,1
7694,Leila Khalil,0,0,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7695,Craig Moore,1,0,1,0,0,0,0,0,2,1,2014,0,1,1,0,1
7696,Zachary Scheel,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7697,Drew DeWalt,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7698,Jamie Wilkinson,1,33,4,0,0,0,0,0,2,1,2010,0,1,2,1,1
7699,Simon Rakosi,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7700,Mitchel Elsen,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7701,David Mendlewicz,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
7702,Marcus Perezi-Tormos,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
7703,Jerome Dubois,1,0,1,0,0,0,0,0,1,1,2015,0,1,3,0,1
7704,Christopher Cacioppo,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7705,Rylan Hamilton,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7706,Andy Lim / POSLavu,1,0,2,0,0,0,0,0,0,1,2010,0,1,2,0,1
7707,Corey Fiala,1,1,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
7708,Fredrik MaríÈŒÈ,1,3,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
7709,Fredrik MaríÈŒÈ,1,3,1,0,0,0,0,0,0,1,2016,0,1,0,0,1
7710,Cyrus Boadway,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
7711,Cyrus Boadway,1,0,1,0,0,0,0,0,0,1,2016,0,1,0,0,1
7712,Angela Antony,0,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,0
7713,Atul Kumar,1,2,1,0,0,0,0,0,0,1,2007,0,1,3,1,1
7714,Sarita Chand,0,1,1,0,0,0,0,0,0,1,2007,0,1,3,1,1
7715,Faeez Fadhlillah,1,1,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
7716,Juergen Gallistl,1,0,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
7717,Fergus Noble,1,1,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
7718,Colin Beighley,1,3,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
7719,Guy Leibovitz,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7720,Kartheeswaran K K,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,1,1
7721,Matt Howard,1,0,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
7722,Alex Wyler,1,3,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
7723,Eric Martell,1,2,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
7724,Mitchell Reichgut,1,16,1,0,0,0,0,0,2,1,2005,0,1,1,0,1
7725,Jett McCandless,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7726,David Vinca,1,3,1,0,0,0,0,0,2,1,2010,0,1,1,1,1
7727,Daniel Barreto,1,8,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
7728,Ish Harshawat,1,3,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7729,Tom Pachys,1,7,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
7730,Shaul Olmert,1,27,2,0,0,0,0,0,6,1,2012,0,1,2,1,1
7731,Patrick Riley,1,12,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
7732,John Kao,1,2,2,0,0,0,0,0,0,1,2013,0,0,1,1,0
7733,Yoshinari Yoshikawa,1,0,2,3,4,0,0,2,0,1,2008,0,0,1,0,1
7734,Hanno Renner,1,0,1,0,0,0,0,0,1,1,2015,0,1,4,0,1
7735,Ignaz Forstmeier,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,0,1
7736,Arseniy Vershinin,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,0,1
7737,Nikolaus Bauer,1,4,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7738,Jon Snoddy,1,0,1,1,1,0,0,0,0,1,2005,0,1,2,1,1
7739,Erik Schluntz,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7740,Manpreet Singh,1,17,1,1,1,0,0,0,2,1,2008,0,1,3,0,1
7741,Gurpreet Singh,1,3,1,0,0,0,0,0,0,1,2008,0,1,3,0,1
7742,Kris Naudts,1,0,1,0,0,0,0,0,0,1,2011,0,1,1,0,1
7743,Bimohit Bawa,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7744,Leo Popov,1,1,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7745,Thad Eby,1,1,1,0,0,0,0,0,0,1,2011,0,0,2,0,1
7746,Ulrik Bo Larsen,1,12,1,0,0,0,0,0,1,1,2010,0,1,2,1,1
7747,Malik Zakaria,1,8,1,0,0,0,0,0,1,1,2015,0,0,1,0,1
7748,Aaron Hall,1,2,4,0,0,0,0,0,0,1,2012,0,1,2,1,1
7749,Logan Cohen,0,3,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
7750,Prashant Agrawal,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7751,Rob Conant,1,2,1,0,0,0,0,0,1,1,2014,0,1,1,0,1
7752,Sandy Hammer,1,2,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7753,Jean-Sebastien Gosuin,1,4,1,1,1,0,0,0,0,1,2014,0,1,1,0,1
7754,Ron Reiter,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,1,1
7755,Steve Glanz,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,1,1
7756,Jonathan Seidner,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,1,1
7757,Abhijit Shanbhag,1,1,1,0,0,0,0,0,0,1,2010,0,0,1,0,1
7758,Adam Fields,1,1,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
7759,Grant Elliottt,1,4,2,0,0,0,0,0,2,1,2013,0,1,3,0,1
7760,Tom Beckerman,1,0,1,0,0,0,0,0,0,1,2008,0,1,1,1,1
7761,Dorian Selz,1,5,3,0,0,0,0,0,0,1,2012,0,0,4,1,1
7762,Benny De-Kalo,1,3,1,0,0,0,0,0,0,1,2011,0,1,2,1,1
7763,Ben De Kalo,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,1,1
7764,Ryan Farley,1,5,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
7765,Steve Corcoran,1,2,1,1,1,0,0,0,0,1,2013,0,1,3,0,1
7766,Jonas Weigert,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
7767,Eran Kirshenboim,1,2,1,0,0,0,0,0,0,1,2011,0,1,1,1,1
7768,Vishnu Menon,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,0,1
7769,Suki Shah,1,2,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
7770,Rodolphe Ardant,1,0,2,0,0,0,0,0,0,1,2015,0,1,1,0,1
7771,Felix GríÈ_nemeyer,1,0,1,0,0,0,0,0,0,1,0,0,1,4,0,1
7772,Michael Rosenbaum,1,0,1,2,2,0,0,0,0,1,2015,0,1,1,0,1
7773,Amnon Landan,1,6,1,0,0,0,0,0,0,1,2011,0,1,4,1,1
7774,Yuval Scarlat,1,5,1,0,0,0,0,0,0,1,2011,0,1,4,1,1
7775,Oren Ariel,1,3,1,0,0,0,0,0,0,1,2011,0,1,4,1,1
7776,Ronnen Armon,1,3,1,0,0,0,0,0,0,1,2011,0,1,4,1,1
7777,Tony Mingo,1,2,1,0,0,0,0,0,0,1,2006,0,1,1,1,0
7778,Mark Shedletsky,1,4,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
7779,Nick Abramovic,1,2,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
7780,David Graff,1,12,2,0,0,0,0,0,0,1,2006,0,1,3,1,0
7781,Anand Ranganathan,1,0,2,1,2,0,0,0,0,1,2002,0,0,2,1,1
7782,Anil Kamath,1,3,1,0,0,0,0,0,0,1,2002,0,0,2,1,1
7783,Mark Sole,1,0,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
7784,Jerome Lecat,1,30,2,2,2,0,0,0,0,1,2009,0,1,5,1,0
7785,Ross Knap,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7786,Michael Hoey,1,1,1,0,0,0,0,0,0,1,2008,0,1,1,1,1
7787,Alex DeNeui,1,10,2,0,0,0,0,0,0,1,2007,0,0,2,1,1
7788,Dan McComas,1,1,1,0,0,0,0,0,0,0,2015,2017,1,6,0,1
7789,Jessica Moreno,0,8,1,0,0,0,0,0,0,0,2015,2017,1,6,0,1
7790,Dror Comay,1,3,1,0,0,0,0,0,0,1,2000,0,1,6,1,1
7791,Oded Comay,1,0,1,0,0,0,0,0,0,1,2000,0,1,6,1,1
7792,Osman Khan,1,10,1,2,2,0,0,1,0,1,2011,0,1,3,1,1
7793,Aditya Julka,1,11,3,0,0,0,0,0,0,1,2011,0,1,3,1,1
7794,Alexander Gilkes,1,11,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
7795,Alexander Gilkes,1,11,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
7796,Richard White,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,1,0
7797,Sreevathsa Prabhakar,1,0,1,1,1,0,0,0,0,1,2015,0,1,2,0,1
7798,Anthony Ortiz,1,6,1,0,0,0,0,0,0,1,2011,0,1,5,0,1
7799,Howard J. Weisman,1,0,2,0,0,0,0,0,0,1,2008,0,1,1,1,0
7800,Dinesh Agarwal,1,47,1,1,1,0,0,0,0,1,1996,0,1,2,1,1
7801,Brijesh Agrawal,1,4,1,0,0,0,0,0,1,1,1996,0,1,2,1,1
7802,Brijesh Agrawal,1,4,1,0,0,0,0,0,1,1,1996,0,1,2,1,1
7803,Ronan Perceval,1,2,2,0,0,0,0,0,1,1,2003,0,1,2,0,1
7804,Isabel Berney,0,0,1,0,0,0,0,0,0,1,2016,0,1,1,0,1
7805,Justin Langseth,1,6,3,0,0,0,0,0,0,1,2012,0,1,1,0,1
7806,Martin Manniche,1,10,2,0,0,0,0,0,0,1,2008,0,1,2,1,1
7807,Megan O'Connor,0,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
7808,Megan O'Connor,0,0,2,0,0,0,0,0,0,1,2016,0,1,2,0,1
7809,Sam Gimbel,2,1,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7810,Sam Gimbel,2,1,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7811,Sam Gimbel,2,1,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7812,Sam Gimbel,2,1,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7813,Christopher Oster,1,0,1,0,0,0,0,0,2,1,2015,0,1,3,0,0
7814,Christopher Oster,1,0,1,0,0,0,0,0,2,1,2016,0,1,2,0,0
7815,Steffen Glomb,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
7816,Steffen Glomb,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
7817,Jamie Rosen,1,9,2,0,0,0,0,0,1,1,2011,0,1,1,0,1
7818,Alexis Borisy,1,49,4,0,0,7,0,0,0,1,2011,0,0,2,1,1
7819,Nathan Beckord,1,9,1,0,0,0,0,0,1,1,2015,0,1,2,0,1
7820,J. Scott Zimmerman,1,2,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7821,Anush Ramani,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,0,1
7822,Joe E. Ross,1,5,1,0,0,0,0,0,0,1,2015,0,1,1,0,0
7823,Chris Collins,1,6,2,0,0,0,0,0,0,1,2012,0,0,2,0,1
7824,Carly Chamberlain,0,2,2,0,0,0,0,0,0,1,2012,0,0,2,0,1
7825,Adam Sabloff,1,0,1,0,0,0,0,0,1,1,2012,0,1,1,0,1
7826,Chris Bryson,1,10,1,0,0,0,0,0,0,1,2009,0,0,1,0,1
7827,Richard Lavina,1,0,1,0,0,0,0,0,0,1,2015,0,1,5,0,1
7828,Michael Mouriz,1,0,1,0,0,0,0,0,0,1,2015,0,1,5,0,1
7829,Michael Mouriz,1,0,1,0,0,0,0,0,0,1,2015,0,1,5,0,1
7830,Jon Radoff,1,44,1,0,0,0,0,0,0,1,2010,0,1,1,1,1
7831,Clara de Soto,0,0,1,0,0,0,0,0,0,1,2016,0,1,4,0,1
7832,Omar Pera Mira,1,0,2,0,0,0,0,0,1,1,2016,0,1,4,0,1
7833,Erica Mannherz,0,0,1,0,0,0,0,0,0,1,2016,0,1,4,0,1
7834,Pablo Pera,1,0,2,0,0,0,0,0,0,1,2016,0,1,4,0,1
7835,Vidit Aatrey,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
7836,Sanjeev Barnwal,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
7837,Yi Wang,1,0,1,0,0,0,0,0,1,1,2012,0,1,3,1,1
7838,Samuel Mueller,1,6,1,0,0,0,0,0,0,1,2009,0,1,3,0,1
7839,Christian Floerkemeier,1,0,2,0,0,0,0,0,0,1,2009,0,1,3,0,1
7840,Christof Roduner,1,0,2,0,0,0,0,0,0,1,2009,0,1,3,0,1
7841,Ajay Mishra,1,1,1,0,0,0,0,0,0,1,2007,0,0,2,1,1
7842,Suresh Batchu,1,1,1,0,0,0,0,0,0,1,2007,0,0,2,1,1
7843,Satyam Vaghani,1,13,1,0,0,0,0,0,1,1,2012,0,1,2,1,1
7844,Madhusudan E,1,2,1,1,1,0,0,0,0,1,2016,0,1,3,0,1
7845,Vincent Dignan,1,4,2,0,0,0,0,0,7,1,2012,0,0,2,0,1
7846,Joe Teplow,1,2,3,0,0,0,0,0,0,1,2013,0,1,2,0,1
7847,Akrum Al-Zubaidi,1,0,2,0,0,0,0,0,0,1,2015,0,1,2,0,1
7848,Apu Kumar,1,4,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7849,Sravish Sridhar,1,36,1,2,2,0,0,0,1,1,2010,0,1,1,1,1
7850,Bernhard Koehler,1,17,1,0,0,0,0,0,0,1,2007,0,1,1,1,1
7851,Elise Whang,0,2,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7852,Emily Dang,0,1,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7853,Jesse Proudman,1,41,2,2,2,0,0,0,1,1,2003,0,1,1,1,1
7854,Changming Liu,1,3,1,1,1,0,0,0,0,1,2006,0,1,1,1,1
7855,Jeeshan Chowdhury,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7856,Trevor Chan,1,2,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7857,Dominic Savoie,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7858,Dominic Savoie,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
7859,Omar Bawa,1,1,1,1,1,0,0,0,0,1,2014,0,1,3,0,1
7860,Taha Bawa,1,1,1,1,1,0,0,0,0,1,2014,0,1,3,0,1
7861,Aaron Frazin,1,8,1,0,0,0,0,0,1,1,2012,0,1,3,0,1
7862,Michael Holtzman,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
7863,Deepanshu Malviya,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
7864,Leonardo da Silveira,1,0,1,0,0,0,0,0,0,1,2004,0,1,4,1,1
7865,Sebastien Giao Le Tuan,1,0,1,0,0,0,0,0,0,1,2004,0,1,4,1,1
7866,Vikas Johari,1,0,3,0,0,0,0,0,0,1,2016,0,1,2,0,1
7867,Jigyasa Gupta,0,0,2,0,0,0,0,0,0,1,2016,0,1,2,0,1
7868,Joshua Feast,1,3,2,0,0,0,0,0,0,1,2007,0,1,1,1,1
7869,Vlad Iuhas,1,1,2,0,0,1,0,0,0,1,2014,0,1,2,0,1
7870,Ben Weisshaut,1,0,3,1,2,0,0,0,0,1,2012,0,1,2,0,1
7871,Patrick Deem,1,0,1,0,0,0,0,0,0,1,2015,0,1,4,0,1
7872,Max Friedfeld,1,0,2,0,0,0,0,0,0,1,2015,0,1,4,0,1
7873,Oliver Ortlieb,1,0,2,0,0,0,0,0,0,1,2015,0,1,4,0,1
7874,Carlos Reines,1,3,1,0,0,0,0,0,1,1,2013,0,1,3,0,1
7875,Gil Addo,1,4,1,0,0,0,0,0,1,1,2013,0,1,3,0,1
7876,Julien Pham,1,2,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
7877,Julien Pham,1,2,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
7878,Jeff Hyman,1,15,1,0,0,0,0,0,0,1,2011,0,1,1,1,1
7879,Janica Alvarez,0,8,1,0,0,0,0,0,2,1,2013,0,1,2,0,1
7880,Jeffery Alvarez,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
7881,Guy Bauman,1,0,2,0,0,0,0,0,0,1,2013,0,1,4,0,1
7882,Dave Evans,1,0,1,0,0,0,0,0,1,1,2014,0,1,3,1,1
